Time [s], Intensity [dB],
0.000000, 384.605114,
0.000100, 93.599279,
0.000200, 44.064603,
0.000300, 11.707976,
0.000400, 13.124755,
0.000500, 11.531547,
0.000600, 0.555924,
0.000700, -43.729774,
0.000800, -16.861207,
0.000900, -46.500219,
0.001000, -52.593259,
0.001100, -61.049790,
0.001200, -26.704742,
0.001300, -123.797029,
0.001400, -51.659857,
0.001500, -89.761645,
0.001600, -31.809837,
0.001700, -38.639923,
0.001800, 15.012651,
0.001900, 8.546365,
0.002000, 39.617536,
0.002100, 11.029316,
0.002200, 3.872444,
0.002300, 30.134992,
0.002400, 4.578067,
0.002500, 63.190950,
0.002600, 52.404690,
0.002700, 4.353939,
0.002800, -2.400851,
0.002900, -11.513907,
0.003000, -2.433116,
0.003100, -25.467105,
0.003200, 9.763167,
0.003300, -10.775959,
0.003400, 104.629090,
0.003500, 14.629060,
0.003600, -12.907917,
0.003700, 26.100444,
0.003800, 1.403090,
0.003900, -2.781741,
0.004000, -15.258439,
0.004100, 41.435975,
0.004200, -7.074799,
0.004300, -48.536302,
0.004400, -25.197828,
0.004500, -62.911917,
0.004600, -32.929927,
0.004700, -38.176707,
0.004800, -19.064564,
0.004900, 13.508737,
0.005000, 11.611223,
0.005100, 82.160625,
0.005200, -18.059551,
0.005300, -41.058838,
0.005400, -51.455215,
0.005500, -9.098074,
0.005600, -13.439532,
0.005700, -14.241064,
0.005800, 1.739264,
0.005900, 5.918464,
0.006000, 4.855522,
0.006100, 38.691972,
0.006200, -14.536271,
0.006300, 4.587080,
0.006400, -27.392608,
0.006500, 1.800342,
0.006600, 21.810551,
0.006700, -27.052853,
0.006800, 80.765577,
0.006900, 1.943637,
0.007000, 11.697042,
0.007100, -28.775140,
0.007200, -21.458837,
0.007300, 4.316698,
0.007400, -4.365327,
0.007500, 6.052376,
0.007600, 36.555943,
0.007700, 63.219858,
0.007800, -7.166066,
0.007900, -27.675172,
0.008000, 19.601605,
0.008100, 73.642847,
0.008200, 46.990540,
0.008300, -4.827633,
0.008400, -51.891738,
0.008500, -42.098655,
0.008600, -76.091959,
0.008700, -28.495256,
0.008800, -75.704230,
0.008900, -42.023911,
0.009000, -35.083940,
0.009100, -49.375114,
0.009200, -91.833654,
0.009300, -16.535774,
0.009400, -56.288681,
0.009500, 4.752288,
0.009600, -30.718096,
0.009700, 7.518849,
0.009800, 3.102152,
0.009900, 56.455738,
0.010000, 105.389238,
0.010100, 141.111533,
0.010200, 251.368173,
0.010300, 60.000444,
0.010400, 38.136176,
0.010500, 6.190064,
0.010600, 6.201272,
0.010700, -30.255840,
0.010800, -7.838996,
0.010900, -0.428580,
0.011000, -78.175676,
0.011100, -45.394184,
0.011200, -47.251149,
0.011300, -50.458916,
0.011400, -20.398120,
0.011500, -34.609051,
0.011600, -34.147805,
0.011700, -35.353355,
0.011800, -14.391808,
0.011900, -56.144858,
0.012000, 4.793265,
0.012100, 28.578451,
0.012200, 59.161317,
0.012300, -4.446264,
0.012400, 4.804948,
0.012500, 3.054433,
0.012600, -21.856609,
0.012700, 9.902133,
0.012800, 71.706452,
0.012900, -11.868016,
0.013000, 5.661881,
0.013100, -39.546195,
0.013200, 9.061954,
0.013300, -52.424334,
0.013400, -15.883996,
0.013500, 19.099708,
0.013600, 56.687346,
0.013700, 5.408266,
0.013800, 11.540103,
0.013900, 10.586885,
0.014000, 17.695108,
0.014100, 37.522486,
0.014200, 40.440926,
0.014300, 12.398919,
0.014400, 11.260887,
0.014500, -65.011055,
0.014600, -32.989504,
0.014700, 4.485757,
0.014800, -44.494810,
0.014900, -50.302567,
0.015000, -37.498697,
0.015100, -36.223182,
0.015200, 12.589745,
0.015300, 103.898804,
0.015400, -18.585603,
0.015500, -6.666216,
0.015600, -7.685775,
0.015700, -28.981625,
0.015800, -15.526848,
0.015900, -27.797921,
0.016000, -20.647333,
0.016100, 28.540820,
0.016200, 115.426158,
0.016300, -23.016446,
0.016400, -24.858187,
0.016500, -15.277220,
0.016600, -9.797187,
0.016700, -34.489284,
0.016800, -38.114654,
0.016900, 3.895426,
0.017000, 20.411654,
0.017100, 32.496039,
0.017200, 21.272556,
0.017300, -15.320042,
0.017400, 26.917148,
0.017500, -23.793015,
0.017600, -15.099740,
0.017700, 8.416263,
0.017800, 54.888943,
0.017900, 53.270335,
0.018000, 15.905481,
0.018100, 2.753253,
0.018200, 54.869792,
0.018300, -9.988689,
0.018400, 6.533792,
0.018500, 27.565512,
0.018600, -9.973367,
0.018700, -27.034822,
0.018800, -83.970177,
0.018900, -61.308951,
0.019000, -47.339592,
0.019100, -51.845354,
0.019200, -41.940122,
0.019300, -3.286460,
0.019400, -33.741703,
0.019500, -51.527660,
0.019600, -28.275927,
0.019700, 9.480759,
0.019800, -7.306490,
0.019900, 0.841732,
0.020000, 50.090811,
0.020100, 57.272377,
0.020200, 76.898462,
0.020300, 145.978797,
0.020400, 231.439744,
0.020500, 104.831517,
0.020600, 20.721092,
0.020700, 14.087204,
0.020800, -28.322038,
0.020900, -12.738934,
0.021000, -52.209492,
0.021100, -46.726935,
0.021200, -42.026549,
0.021300, -38.500319,
0.021400, -39.110415,
0.021500, -31.866027,
0.021600, -41.552406,
0.021700, -67.673039,
0.021800, -40.718208,
0.021900, -33.080005,
0.022000, -37.296458,
0.022100, -30.464256,
0.022200, 35.705964,
0.022300, 7.187865,
0.022400, -22.147986,
0.022500, -3.199851,
0.022600, -42.608082,
0.022700, -15.593527,
0.022800, 33.179569,
0.022900, -12.673507,
0.023000, 55.268572,
0.023100, 21.506844,
0.023200, -21.509485,
0.023300, 3.413155,
0.023400, 0.085890,
0.023500, 3.828493,
0.023600, -22.921846,
0.023700, 3.952005,
0.023800, 60.846372,
0.023900, 11.548489,
0.024000, 8.972498,
0.024100, -4.771631,
0.024200, 5.803170,
0.024300, 142.359486,
0.024400, 28.948906,
0.024500, -34.193187,
0.024600, -9.133978,
0.024700, -39.413128,
0.024800, -12.499750,
0.024900, -46.878902,
0.025000, -41.069661,
0.025100, -16.702276,
0.025200, -28.820551,
0.025300, -6.644283,
0.025400, 20.137501,
0.025500, 51.821095,
0.025600, 10.586846,
0.025700, 12.666351,
0.025800, -16.839209,
0.025900, 1.263960,
0.026000, 20.215338,
0.026100, 17.200010,
0.026200, -0.370877,
0.026300, 54.514290,
0.026400, -29.845676,
0.026500, 14.313389,
0.026600, -35.589405,
0.026700, -25.250693,
0.026800, 7.657245,
0.026900, -22.108170,
0.027000, -27.066773,
0.027100, -21.550003,
0.027200, 70.571431,
0.027300, 23.271291,
0.027400, -21.694259,
0.027500, -24.458084,
0.027600, 0.904407,
0.027700, 36.507446,
0.027800, 22.937600,
0.027900, -8.647417,
0.028000, 53.832837,
0.028100, 60.187829,
0.028200, 47.852845,
0.028300, 24.991879,
0.028400, -13.586303,
0.028500, -23.689634,
0.028600, -23.281823,
0.028700, -11.728332,
0.028800, -31.481623,
0.028900, -21.392243,
0.029000, -66.118124,
0.029100, -51.443344,
0.029200, -26.448743,
0.029300, -62.774939,
0.029400, -74.693080,
0.029500, -77.802368,
0.029600, -58.872592,
0.029700, -27.703946,
0.029800, -5.896295,
0.029900, 11.654941,
0.030000, -16.612399,
0.030100, 21.230002,
0.030200, 33.085706,
0.030300, 48.951869,
0.030400, 103.567142,
0.030500, 68.300904,
0.030600, 176.607106,
0.030700, 112.396961,
0.030800, 28.681053,
0.030900, 15.885436,
0.031000, -9.411508,
0.031100, -33.512688,
0.031200, -37.467206,
0.031300, 0.910325,
0.031400, -20.376641,
0.031500, -29.523245,
0.031600, -22.846324,
0.031700, -61.847837,
0.031800, -66.782571,
0.031900, -46.809241,
0.032000, -61.133963,
0.032100, -32.846640,
0.032200, -9.342274,
0.032300, 11.007129,
0.032400, 84.115264,
0.032500, 6.369129,
0.032600, 2.012042,
0.032700, -3.735716,
0.032800, -3.050635,
0.032900, 4.009102,
0.033000, -22.361756,
0.033100, 61.660904,
0.033200, 37.955239,
0.033300, 4.456847,
0.033400, -20.587007,
0.033500, -35.539423,
0.033600, -7.122600,
0.033700, -21.582797,
0.033800, -1.783737,
0.033900, 33.592700,
0.034000, 47.857933,
0.034100, 38.364209,
0.034200, 44.447417,
0.034300, 36.891519,
0.034400, 21.376056,
0.034500, 60.123441,
0.034600, -28.363831,
0.034700, -3.104326,
0.034800, -10.149056,
0.034900, -37.376861,
0.035000, -27.458109,
0.035100, -48.218633,
